,No,page,nick,time,content,area,ip,ip_loc,length,against,agree,channel,hot,level,login_type,media_type,mid
87,88,5,素简2016,2018-08-12 12:51:30,操心不少啊,上海,180.172.65.196,"上海市 电信 * GeoIP: Shanghai, China * China Telecom Shanghai",5,1534049490,0,cj,0,0,0,0,5B6FBCCF-B4AC41C4-429BE7F1-8C5-7D7
88,89,5,TrailBlaaaazer,2018-08-12 12:43:38,啊？,日本滋贺县,126.247.142.230,"日本  * GeoIP: Tokyo, Japan * Softbank BB",13,1534049018,0,cj,0,2,0,0,5B6FBAF9-7EF78EE6-6C33BB2D-8C5-8D3
89,90,5,陈鬼23993,2018-08-12 11:48:50,哈哈哈，大v你好,广东广州,124.15.191.12,"海南省海口市 鹏博士 * GeoIP: Beijing, China * BeiJing Guoxin bilin Telecom Technology Co.,Ltd",17,1534045730,0,cj,0,1,0,0,5B6FAE1F-7C0FBF0C-14567E8D8-8C5-8A6
90,91,5,大大大大大大斯兄先森,2018-08-12 11:18:13,谁带领谁呢[并不简单],江苏常州,222.185.232.211,"江苏省常州市 电信 * GeoIP: Changzhou, Jiangsu, China * institute of traditional chinese medicine of jinta",11,1534043893,0,cj,0,0,0,0,5B6FA6F4-DEB9E8D3-A67DFCD9-8C5-86B
91,92,5,追逐阳光zh,2018-08-12 11:10:06,年轻人不傻,河北石家庄,223.104.13.62,"河北省石家庄市 移动 * GeoIP: Shijiazhuang, Hebei, China * Hebei Mobile Communication Company Limited",5,1534043406,0,cj,0,0,0,0,5B6FA50D-DF680D3E-150AF2627-8C5-897
92,93,5,李怀远JEESE,2018-08-12 10:44:38,哦，原来是这届年轻人不行。,山东青岛,223.80.237.5,"山东省青岛市 移动 * GeoIP: Qingdao, Shandong, China * China Mobile Shandong",13,1534041878,2,cj,0,0,0,0,5B6F9F15-DF50ED05-AF552CD1-8C5-937
93,94,5,香草拌饭,2018-08-12 10:11:55,ok 难以置信的自我认知,广西南宁,117.181.21.207,"广西自治区南宁市 移动 * GeoIP: Nanning, Guangxi, China * China Mobile Guangdong",12,1534039915,0,cj,0,0,0,0,5B6F976A-75B515CF-18164437D-8C5-956
94,95,5,1995年的马克斯,2018-08-12 10:10:54,你这同志想的不错，这样就算一生不为私利，把自己完完全全的奉献给国家。死后能用这个题材拍的电影，当代雷锋,河北,221.192.179.24,"河北省石家庄市 联通 * GeoIP: Shijiazhuang, Hebei, China * China Unicom Liaoning",61,1534039854,1,cj,0,2,0,0,5B6F972E-DDC0B318-145C4A0F7-8C5-8F4
95,96,5,ASenhora,2018-08-12 09:55:10,开始忽悠你生二胎三胎呢！,广东广州,118.196.55.223,"广东省佛山市 鹏博士 * GeoIP: Beijing, China * Beijing Dian-Xin-Tong Network Technologies Co.",12,1534038910,0,cj,0,0,0,0,5B6F937B-76C437DF-1419E5EF7-8C5-886
96,97,5,努力做一个成功的好人VS,2018-08-12 09:06:55,举报他，发布不实信息不良信息,北京,123.125.104.220,"北京市 联通 * GeoIP: Beijing, China * China Unicom Beijing",14,1534036015,0,cj,0,0,0,0,5B6F882F-7B7D68DC-E410B8F2-8C5-931
97,98,5,蘑菇镇的马丽奥,2018-08-12 08:14:30,有钱的三胎都可以生，但要苦哈哈地还房贷养孩子养父母的生二胎，我觉得就是想不开了。当然很多人问我为什么那么想得开不生呢。,山东德州,111.34.10.147,"山东省德州市 移动 * GeoIP: Dezhou, Shandong, China * China Mobile Shandong",70,1534032870,0,cj,0,4,0,0,5B6F7BE5-6F220A93-68F2F257-8C5-80E
98,99,5,汤佳睿同学super,2018-08-12 08:11:30,？？？,吉林长春,124.234.189.154,"吉林省长春市 电信 * GeoIP: Changchun, Jilin, China * China Telecom JILIN",3,1534032690,0,cj,0,0,0,0,5B6F7B30-7CEABD9A-BF0C2A90-8C5-8FF
99,100,5,随意开火午时已到,2018-08-12 08:09:00,星巴克不好喝,湖北武汉,171.43.249.128,"湖北省武汉市 电信 * GeoIP: Wuhan, Hubei, China * China Telecom",6,1534032540,0,cj,0,0,0,0,5B6F7A9A-AB2BF980-C46806C5-8C5-924
100,101,6,OIZAL,2018-08-12 07:26:29,其实只要自己开心 怎么样都可以的,黑龙江哈尔滨,117.136.7.227,"黑龙江省哈尔滨市 移动 * GeoIP: Harbin, Heilongjiang, China * HeiLongJiang Mobile Communication Company Limited",26,1534029989,0,cj,0,2,0,0,5B6F70A4-758807E3-974C0D32-8C5-A09
101,102,6,奥巴马的小情人,2018-08-12 06:50:53,回复 @蘑菇镇的马丽奥:生二胎也许不是想不开而是真有钱,吉林松原,222.169.75.70,"吉林省松原市 电信 * GeoIP: Changchun, Jilin, China * China Telecom JILIN",27,1534027853,0,cj,0,3,0,0,5B6F684D-DEA94B46-73D59CCF-8C5-8D0
102,103,6,徐正溪的牛牛,2018-08-12 03:11:12,我见过站路边发信用卡的[二哈]就跟不要成本一样,湖北随州,116.210.239.163,"湖北省随州市 电信 * GeoIP: Guangshui, Hubei, China * China Telecom Hubei",35,1534014672,0,cj,0,3,0,0,5B6F34CE-74D2EFA3-16A05D2DE-8C5-945
103,104,6,徐正溪的牛牛,2018-08-12 03:07:25,要是永久产权就好了[笑cry][笑cry][笑cry][允悲][二哈],湖北随州,116.210.239.163,"湖北省随州市 电信 * GeoIP: Guangshui, Hubei, China * China Telecom Hubei",45,1534014445,0,cj,0,1,0,0,5B6F33EB-74D2EFA3-16A05D2DE-8C5-945
104,105,6,徐正溪的牛牛,2018-08-12 03:05:27,所以我们大批年轻人不想生孩子，又有人说我们自私[笑cry][笑cry][笑cry],湖北随州,116.210.239.163,"湖北省随州市 电信 * GeoIP: Guangshui, Hubei, China * China Telecom Hubei",50,1534014327,7,cj,0,2,0,0,5B6F3377-74D2EFA3-16A05D2DE-8C5-945
105,106,6,徐正溪的牛牛,2018-08-12 03:03:56,然后卖房子进医院[笑cry][笑cry][笑cry][允悲],湖北随州,116.210.239.163,"湖北省随州市 电信 * GeoIP: Guangshui, Hubei, China * China Telecom Hubei",43,1534014236,4,cj,0,1,0,0,5B6F331B-74D2EFA3-16A05D2DE-8C5-945
106,107,6,杨哥7186,2018-08-12 01:11:34,对对对，让所有的钱都流通在企业家手里和人民之间，千万别把钱买房子[微笑][微笑],山西,117.136.90.64,"山西省太原市 移动 * GeoIP: Taiyuan, Shanxi, China * China Mobile",50,1534007494,0,cj,0,1,0,0,5B6F18C6-75885A40-149C7C8D1-8C5-8A0
107,108,6,杨哥7186,2018-08-12 01:08:47,对，年青人就是为上层舒服的，这就是他们想要的。,山西,117.136.90.64,"山西省太原市 移动 * GeoIP: Taiyuan, Shanxi, China * China Mobile",34,1534007327,6,cj,0,1,0,0,5B6F1819-75885A40-149C7C8D1-8C5-8A0
108,109,6,杨哥7186,2018-08-12 01:06:38,什么事情都有比例。至少80的人买不起。现在每天上班多累没数嘛？？难道辛辛苦苦工作一辈子赚的钱都扔进房子？每天省吃俭用？房贷还完了也差不多走了？我也选择好好玩。,山西,117.136.90.64,"山西省太原市 移动 * GeoIP: Taiyuan, Shanxi, China * China Mobile",89,1534007198,13,cj,0,1,0,0,5B6F179E-75885A40-149C7C8D1-8C5-8A0
109,110,6,杨哥7186,2018-08-12 00:53:26,新时代，新观念。西方国家有的人就是租房一辈子。只要有本事，为什么不能一直更换城市，更换工作？反而让一个房子把自己固定在一个地方？？  等吧，可能很长久，当中国人对房子的概念改变了，就是楼市崩盘的时候。  为什么不定产就必须是房子呢？为什么就抄上去了呢？还是国人太在乎房子这个概念了,山西,117.136.90.64,"山西省太原市 移动 * GeoIP: Taiyuan, Shanxi, China * China Mobile",149,1534006406,0,cj,0,1,0,0,5B6F1484-75885A40-149C7C8D1-8C5-8A0
110,111,6,zeke_mendez,2018-08-12 00:37:57,从前大户人家养了一群驴拉磨，后来驴发现不管多努力，顶多多得到主人赏的两根胡萝卜，所以后来的年轻驴就每天拉够圈数就去旅游，结果主任专门贴了告示批评这种驴不上进,辽宁沈阳,59.44.12.12,"辽宁省沈阳市 电信 * GeoIP: Shenyang, Liaoning, China * YouXianDianShi-SY-LN",78,1534005477,0,cj,0,0,0,0,5B6F10E4-3B2C0C0C-1421DE9B8-8C5-927
111,112,6,霜纹鱼,2018-08-12 00:10:26,这和媒体的物质主义导向也有很大关系，除了央视还是主流价值观以外，其他哪个电视台不天天宣传高富帅，白富美,上海,222.69.250.252,"上海市 电信 * GeoIP: Shanghai, China * China Telecom Shanghai",51,1534003826,13,cj,0,0,0,0,5B6F0A71-DE45FAFC-6FA358B2-8C5-8D9
112,113,6,alassock,2018-08-11 20:53:22,？？？看來我們中國每一代都是「垮掉的一代」呀[doge],广东佛山,183.27.152.124,"广东省佛山市 电信 * GeoIP: Foshan, Guangdong, China * China Telecom Guangdong",28,1533992001,0,cj,0,0,0,0,5B6EDC3D-B71B987C-A71CB6BC-8C5-89D
113,114,6,2H-reindeer,2018-08-11 19:20:20,哈哈哈哈我也想说哈哈哈哈嗝,河北邢台,101.16.26.68,"河北省邢台市 联通 * GeoIP: Hebei, China * China Unicom Hebei",13,1533986420,0,cj,0,1,0,0,5B6EC672-65101A44-1524A397D-8C5-92C
114,115,6,每日一茶蛋,2018-08-11 19:18:13,？？？你怎么看哥哥还溜号！！！！,黑龙江牡丹江,113.7.118.189,"黑龙江省 联通 * GeoIP: Mudanjiang, Heilongjiang, China * China Unicom Heilongjiang",16,1533986293,0,cj,0,0,0,0,5B6EC5F5-710776BD-14957F06C-8C5-8B4
115,116,6,没关系是边咸咸呀,2018-08-11 19:15:04,看着演唱会还刷微博，社会社会[跪了][跪了],天津,36.106.19.1,"天津市 电信 * GeoIP: Tianjin, China * China Telecom TIANJIN",22,1533986104,0,cj,0,0,0,0,5B6EC538-246A1301-13B7DE86B-8C5-947
116,117,6,我阿訇打钱,2018-08-11 17:15:13,[费解][费解][费解],青海海南藏族自治州,36.100.157.102,"青海省海南州 电信 * GeoIP: Hangzhou, Zhejiang, China * China Telecom",31,1533978913,3,cj,0,5,0,0,5B6EA91F-24649D66-17A3D8EEA-8C5-8D1
117,118,6,TKK_Questioning,2018-08-11 17:04:20,那你以为不单身就能避免？,安徽合肥,36.7.153.141,"安徽省合肥市 电信 * GeoIP: Hefei, Anhui, China * China Telecom Anhui",21,1533978260,22,cj,0,4,0,0,5B6EA690-2407998D-1343F7922-8C5-877
118,119,6,碌碌无为的困难群众,2018-08-11 16:29:58,谢谢,山西太原,113.27.238.138,"山西省太原市 电信 * GeoIP: Xian, Shaanxi, China * China Telecom shangxi",21,1533976198,0,cj,0,0,0,0,5B6E9E84-711BEE8A-1796C1F18-8C5-90D
119,120,6,竖纹AdaIX,2018-08-11 14:25:19,想去声援你 结果发不出🌚,广东广州,183.234.62.211,"广东省广州市 移动 * GeoIP: Guangzhou, Guangdong, China * China Mobile",13,1533968719,0,cj,0,0,0,0,5B6E814B-B7EA3ED3-72E25C17-8C5-953
120,121,7,猫切,2018-08-11 13:02:03,锅太大，接不住,广东深圳,14.17.22.33,"广东省深圳市 电信 * GeoIP: Shenzhen, Guangdong, China * China Telecom (Group)",7,1533963723,0,cj,0,0,0,0,5B6E6DCB-E111621-3E5F4FAE-8C5-8EE
121,122,7,静静坨silence,2018-08-11 09:17:48,[允悲][允悲]…,湖南,117.136.89.122,"湖南省 移动 * GeoIP: Changsha, Hunan, China * China Mobile",9,1533950268,0,cj,0,0,0,0,5B6E393A-7588597A-994EDC9C-8C5-921
122,123,7,空空卡卡,2018-08-11 08:30:12,居然这么说我们年轻人[嘿哈],四川成都,101.206.166.34,"四川省成都市 联通 * GeoIP: Chengdu, Sichuan, China * UNICOM Sichuan",14,1533947412,0,cj,0,0,0,0,5B6E2E12-65CEA622-57018627-8C5-846
123,124,7,Kun-Gong,2018-08-10 23:04:35,老了,浙江,112.17.237.198,"浙江省 移动 * GeoIP: Hangzhou, Zhejiang, China * China Mobile",2,1533913475,0,cj,0,0,0,0,5B6DA983-7011EDC6-637C89FA-8C5-815
124,125,7,慕玖鲸Helena,2018-08-10 21:50:07,我觉得这条博就是一个笑话……,广西南宁,116.8.58.204,"广西自治区河池市 电信 * GeoIP: Nanning, Guangxi, China * China Telecom Guangxi",26,1533909007,0,cj,0,1,0,0,5B6D980A-74083ACC-E294C386-8C5-8D3
125,126,7,天高路远,2018-08-10 21:25:09,到底该不该透支消费？专家统一一下意见，在线等，急。,浙江杭州,112.10.50.208,"浙江省杭州市 移动 * GeoIP: Hangzhou, Zhejiang, China * China Mobile",25,1533907509,0,cj,0,0,0,0,5B6D9234-700A32D0-63E5B9FC-8C5-863
126,127,7,右边耳垂上有颗痣,2018-08-10 19:58:11,拜托，我买再多手机穿再多名牌喝再多星巴克都没一个房贷债务高吧。推责任推这么心安理得恶不恶心啊。,山西长治,60.220.61.84,"山西省长治市 联通 * GeoIP: Changzhi, Shanxi, China * China Unicom Shanxi",47,1533902291,0,cj,0,0,0,0,5B6D7DD3-3CDC3D54-12D665286-8C5-8AA
127,128,7,dddyqqq_,2018-08-10 19:57:24,你们反省一下，不要做历史的罪人[笑而不语],上海,180.160.176.173,"上海市 电信 * GeoIP: Shanghai, China * China Telecom Shanghai",38,1533902244,0,cj,0,3,0,0,5B6D7DA2-B4A0B0AD-41AB47DC-8C5-825
128,129,7,迷野路,2018-08-10 18:47:11,茶水费还是买房嘛(ಡωಡ),湖北武汉,58.49.196.143,"湖北省武汉市 电信 * GeoIP: Wuhan, Hubei, China * China Telecom Hubei",26,1533898031,0,cj,0,1,0,0,5B6D6D30-3A31C48F-99E8222F-8C5-979
129,130,7,liang个人的天荒地老,2018-08-10 18:47:06,放你🐴屁,江苏徐州,114.234.162.185,"江苏省徐州市 电信 * GeoIP: Xuzhou, Jiangsu, China * China Telecom jiangsu",5,1533898026,0,cj,0,0,0,0,5B6D6D25-72EAA2B9-13B120CC0-8C5-80E
130,131,7,Soy_Kayakachi,2018-08-10 17:47:02,Reply @dddyqqq_:我就借借花呗和白条，他是透支信用卡[doge],上海,223.104.212.221,"中国 移动 * GeoIP: Shanghai, China * Shanghai Mobile Communications Co.,Ltd.",39,1533894422,0,cj,0,2,0,0,5B6D5F16-DF68D4DD-181DEF0A4-8C5-7F4
131,132,7,回龙观观主王二狗,2018-08-10 16:40:26,没那么多的，老铁，办个会员卡还买一送一呢,江苏泰州,112.20.12.194,"江苏省泰州市 移动 * GeoIP: Beijing, China * China Mobile",36,1533890426,16,cj,0,1,0,0,5B6D4F78-70140CC2-145817E37-8C5-82E
132,133,7,-金牛男的冬天-,2018-08-10 16:29:59,你是90后吧？,上海,118.242.19.178,"上海市 翰威科技 * GeoIP: Shanghai, China * China Telecom Shanghai",7,1533889799,0,cj,0,0,0,0,5B6D4D07-76F213B2-89D0B61E-8C5-9DD
133,134,7,砸砸阿,2018-08-10 15:45:19,[doge]你这样很危险啊,江苏南京,222.94.250.230,"江苏省南京市 电信 * GeoIP: Nanjing, Jiangsu, China * China Telecom jiangsu",22,1533887119,1,cj,0,1,0,0,5B6D428F-DE5EFAE6-16BA603D7-8C5-860
134,135,7,踏雪啸长歌,2018-08-10 15:44:53,买不起房结不起婚生不起孩子[泪]还有一个郭姓胖子天天想从我兜里面骗钱,江西南昌,223.104.10.46,"江西省 移动 * GeoIP: Nanchang, Jiangxi, China * China Mobile Guangdong",34,1533887093,2,cj,0,0,0,0,5B6D4274-DF680A2E-14F0F8038-8C5-8CF
135,136,7,砸砸阿,2018-08-10 15:44:28,[doge]可能是70后写出来的,江苏南京,222.94.250.230,"江苏省南京市 电信 * GeoIP: Nanjing, Jiangsu, China * China Telecom jiangsu",25,1533887068,1,cj,0,1,0,0,5B6D4258-DE5EFAE6-16BA603D7-8C5-860
136,137,7,阿秋秋呀-,2018-08-10 15:41:21,[吃瓜]我发现这群人真有意思什么锅都能往年轻人头上扣 80.90.00后都被扣了个遍,湖北黄冈,171.41.16.110,"湖北省黄冈市 电信 * GeoIP: Wuxue, Hubei, China * China Telecom",42,1533886881,2,cj,0,0,0,0,5B6D41A1-AB29106E-132C7A131-8C5-915
137,138,7,貘無,2018-08-10 15:09:54,前几天还有个标题，“老年人正在带领国家走向危机”。[允悲],四川成都,171.214.241.121,"四川省成都市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",29,1533884994,1,cj,0,0,0,0,5B6D3A41-ABD6F179-DFDA135E-8C5-922
138,139,7,我阿訇打钱,2018-08-10 14:33:58,你以为单身就能避免财务危机？？？,青海海南藏族自治州,110.167.20.163,"青海省海南州 电信 * GeoIP: Xining, Qinghai, China * China Telecom Qinghai",25,1533882838,9,cj,0,3,0,0,5B6D31D2-6EA714A3-17A3D8EEA-8C5-8D1
139,140,7,鐪熺悊_56821,2018-08-10 14:31:51,10年前贷款买房的人都赚翻了，把钱存银行的，都傻眼了对吧？提前消费，贷款消费，对拉动内需意义重大，如果大家只存钱不贷款银行就憋死了。,上海,222.72.135.177,"上海市 电信 * GeoIP: Shanghai, China * China Telecom Shanghai",66,1533882711,1,cj,0,0,0,0,5B6D3157-DE4887B1-E9BD67F2-8C5-91F
140,141,8,子豆爱,2018-08-10 14:01:44,你还是25岁的,辽宁抚顺,182.204.168.94,"辽宁省 电信 * GeoIP: Shenyang, Liaoning, China * China Telecom Liaoning",14,1533880903,0,cj,0,1,0,0,5B6D2A44-B6CCA85E-50F84847-8C5-83E
141,142,8,biancasaidsaid,2018-08-10 13:48:39,评论亮了,江苏徐州,223.104.147.141,"江苏省 移动 * GeoIP: Yangzhou, Jiangsu, China * China Mobile",4,1533880119,2,cj,0,0,0,0,5B6D2736-DF68938D-17CD972AB-8C5-8F6
142,143,8,三月雨-微茫,2018-08-10 12:55:40,我家人告诉我不能去借，就算自己过得苦些,北京,180.149.134.10,"北京市 电信 * GeoIP: Beijing, China * ChinaTelecom Group Beijing Ltd,Co",19,1533876940,0,cj,0,0,0,0,5B6D1ACC-B495860A-14E59F45A-8C5-8A4
143,144,8,大魔王oo,2018-08-10 12:48:24,畸形的是你,广东广州,121.14.14.214,"广东省广州市 电信 * GeoIP: Guangzhou, Guangdong, China * China Telecom Guangdong",14,1533876504,55,cj,0,2,0,0,5B6D1917-790E0ED6-1301794BC-8C5-912
144,145,8,-_Ephemeral,2018-08-10 12:48:06,看评论@_Transitory,浙江绍兴,124.160.214.89,"浙江省杭州市 联通 * GeoIP: Hangzhou, Zhejiang, China * China Unicom Zhejiang",15,1533876486,0,cj,0,0,0,0,5B6D1903-7CA0D659-93E8479D-8C5-9E8
145,146,8,十陵第一建筑施工队,2018-08-10 12:42:49,请先酝酿一下下,四川内江,182.145.7.204,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",21,1533876169,1,cj,0,1,0,0,5B6D17C8-B69107CC-170CCB600-8C5-907
146,147,8,李太泽,2018-08-10 12:40:11,这个年轻人已经指向00后了 像我们这种80后90后 已经不属于这个区间了[二哈],天津,117.8.141.162,"天津市 联通 * GeoIP: Tianjin, China * China Unicom Tianjin",40,1533876011,0,cj,0,0,0,0,5B6D1727-75088DA2-9FBBC171-8C5-925
147,148,8,大中华999,2018-08-10 12:24:02,值得反思,山东淄博,223.96.144.75,"山东省淄博市 移动 * GeoIP: Zibo, Shandong, China * China Mobile Shandong",4,1533875042,0,cj,0,0,0,0,5B6D1363-DF60904B-8A9161B9-8C5-809
148,149,8,C青芒不贰,2018-08-10 12:01:50,谁说一定要成家了,福建三明,121.206.167.159,"福建省三明市 电信 * GeoIP: Sanming, Fujian, China * China Telecom fujian",17,1533873710,52,cj,0,2,0,0,5B6D0E2B-79CEA79F-138458A2F-8C5-906
149,150,8,爱吃大米饭的小酒量,2018-08-10 12:00:41,70%的千禧一代都是有房的,四川成都,182.138.95.145,"四川省成都市 电信 * GeoIP: Mianyang, Sichuan, China * China Telecom Sichuan",13,1533873641,0,cj,0,0,0,0,5B6D0DE5-B68A5F91-16E5958E1-8C5-8A7
150,151,8,MchermlkoIM,2018-08-10 11:43:03,780连坐出,重庆,119.85.27.80,"重庆市 电信 * GeoIP: Chongqing, China * China Telecom Chongqing",6,1533872583,0,cj,0,0,0,0,5B6D09C6-77551B50-134F587F0-8C5-8E8
151,152,8,Mickey君_,2018-08-10 11:08:42,那我等xs[笑而不语][笑而不语],内蒙古通辽,223.104.178.228,"内蒙古自治区 移动 * GeoIP: Tongliao, Nei Mongol, China * China Mobile Guangdong",32,1533870522,0,cj,0,3,0,0,5B6D01BA-DF68B2E4-177D4BA5D-8C5-8EA
152,153,8,EnVyUs丶rice,2018-08-10 11:05:54,等等，xs出呀,内蒙古赤峰,222.74.251.86,"内蒙古自治区赤峰市 电信 * GeoIP: Baotou, Nei Mongol, China * China Telecom neimeng",19,1533870354,0,cj,0,2,0,0,5B6D0111-DE4AFB56-1674AEBF6-8C5-883
153,154,8,VV小伍兒,2018-08-10 10:12:17,国家不是一直都是在X的带领下前进吗[小黄人得意],四川成都,171.210.128.120,"四川省 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",24,1533867137,3,cj,0,0,0,0,5B6CF480-ABD28078-ACFBF41D-8C5-88B
154,155,8,江阿寒,2018-08-10 09:35:53,我都是买了带走…,广东广州,221.177.253.28,"广东省广州市 移动 * GeoIP: Shenzhen, Guangdong, China * China Mobile",8,1533864953,0,cj,0,0,0,0,5B6CEBF7-DDB1FD1C-18532C2AF-8C5-841
155,156,8,只是一团乱码,2018-08-10 09:28:04,爱情这东西太奢侈了，感觉是可遇不可求的东西。我觉得自己不会有这么好的运气,河北承德,106.112.59.83,"河北省承德市 电信 * GeoIP: Hebei, China * China Telecom",49,1533864484,1,cj,0,2,0,0,5B6CEA23-6A703B53-14ADCCC80-8C5-871
156,157,8,法号_一休,2018-08-10 09:24:26,形象，我就喜欢在星巴克自拍，[喵喵][喵喵],浙江杭州,36.23.109.88,"浙江省 电信 * GeoIP: Hangzhou, Zhejiang, China * China Telecom Zhongxin",22,1533864266,0,cj,0,0,0,0,5B6CE94A-24176D58-CDF2B7D6-8C5-8BE
157,158,8,Tomochin_笑,2018-08-10 09:14:13,典型的吃完饭骂厨子[二哈],北京,123.114.186.205,"北京市 联通 * GeoIP: Beijing, China * China Unicom Beijing",19,1533863652,1,cj,0,1,0,0,5B6CE6E0-7B72BACD-4BDC9F9F-8C5-7FC
158,159,8,空心悟佛,2018-08-10 09:12:28,专家，就是叫你搬起砖头砸自己的家,广东,223.104.63.180,"广东省深圳市 移动 * GeoIP: Shenzhen, Guangdong, China * China Mobile",16,1533863548,1,cj,0,0,0,0,5B6CE67D-DF683FB4-DDB2AE6A-8C5-90F
159,160,8,所有昵称已被抢占,2018-08-10 08:56:54,反正都是年轻人的锅,北京,203.86.91.114,"北京市  * GeoIP: Beijing, China * China Telecom Beijing",9,1533862614,1,cj,0,0,0,0,5B6CE2D4-CB565B72-99819B6E-8C5-921
160,161,9,Mickey君_,2018-08-10 08:45:16,[doge][doge][doge]那我应该换个iphoneX,内蒙古通辽,223.104.178.228,"内蒙古自治区 移动 * GeoIP: Tongliao, Nei Mongol, China * China Mobile Guangdong",46,1533861916,0,cj,0,1,0,0,5B6CE01A-DF68B2E4-177D4BA5D-8C5-8EA
161,162,9,王部长你说的对,2018-08-10 08:44:53,敢吗，以前计划生育也没人敢危害社会,江苏南京,117.136.45.66,"江苏省 移动 * GeoIP: Nanjing, Jiangsu, China * China Mobile",28,1533861893,0,cj,0,3,0,0,5B6CE005-75882D42-18AE5C045-8C5-8F7
162,163,9,fafa妮妮RDJ,2018-08-10 08:37:48,呵，买房，现在的房价哪是你让攒就买的起的，买不起还不让买其他东西吗 这什么神奇逻辑,云南,117.136.72.205,"云南省 移动 * GeoIP: Kunming, Yunnan, China * China Mobile Guangdong",48,1533861468,13,cj,0,1,0,0,5B6CDE5B-758848CD-180FB90B6-8C5-800
163,164,9,候鸟之一瞬间,2018-08-10 08:30:31,关键是千禧一代连个人大代表都当不上怎么能担负带路人的重任？,新疆乌鲁木齐,124.117.207.20,"新疆自治区乌鲁木齐 电信 * GeoIP: Urumqi, Xinjiang, China * China Telecom xinjiang",29,1533861031,3,cj,0,0,0,0,5B6CDCA4-7C75CF14-18A4806F4-8C5-902
164,165,9,菇熙,2018-08-10 08:30:09,房价那么高。不贷款。谁能全款。专家真多是站着说话不腰疼,河南郑州,223.88.10.0,"河南省郑州市 移动 * GeoIP: Zhengzhou, Henan, China * Henan Mobile Communications Co.,Ltd",27,1533861009,3,cj,0,0,0,0,5B6CDC8F-DF580A00-154E33705-8C5-8C0
165,166,9,梁-明-杰,2018-08-10 08:29:14,他们的形象代表是社交网络中的星巴克咖啡馆自拍。[允悲],湖北襄阳,121.63.179.195,"湖北省襄阳市 电信 * GeoIP: Xiangyang, Hubei, China * China Telecom Hubei",27,1533860954,0,cj,0,0,0,0,5B6CDC59-793FB3C3-6C6C205D-8C5-8B5
166,167,9,EnVyUs丶rice,2018-08-10 08:20:08,没错了说的就是你,内蒙古,220.195.65.176,"内蒙古自治区通辽市 联通 * GeoIP: Chifeng, Nei Mongol, China * China Unicom Liaoning",8,1533860408,0,cj,0,0,0,0,5B6CDA38-DCC341B0-1674AEBF6-8C5-883
167,168,9,长的像地瓜一样的土豆星球,2018-08-10 08:15:56,是是是是  怪年轻人怪年轻人 [思考]  年轻人不努力呗    连不吃不喝十年买套房的决心都没有 [思考][思考],四川,223.104.216.90,"中国 移动 * GeoIP: Chengdu, Sichuan, China * China Mobile Guangdong",57,1533860156,1,cj,0,0,0,0,5B6CD939-DF68D85A-1615B24DA-8C5-925
168,169,9,胖达的小星星,2018-08-10 07:37:42,攒钱？放银行？然后拿出来还不够买杯奶茶？,安徽合肥,223.104.34.84,"安徽省 移动 * GeoIP: Hefei, Anhui, China * China Mobile Guangdong",20,1533857862,3,cj,0,0,0,0,5B6CD042-DF682254-D1614036-8C5-89F
169,170,9,我阿訇打钱,2018-08-10 03:25:26,畸形的消费观，等工作了几年需要养家糊口就老实了,青海海南藏族自治州,110.167.21.56,"青海省海南州 电信 * GeoIP: Xining, Qinghai, China * China Telecom Qinghai",31,1533842726,14,cj,0,1,0,0,5B6C9525-6EA71538-17A3D8EEA-8C5-8D1
170,171,9,wuyubao,2018-08-10 03:21:10,走错片场了没？[允悲],福建龙岩,117.31.183.211,"福建省龙岩市 电信 * GeoIP: Longyan, Fujian, China * China Telecom fujian",11,1533842470,0,cj,0,0,0,0,5B6C9426-751FB7D3-63E42556-8C5-89B
171,172,9,落木溪,2018-08-09 23:43:45,这个锅我不背[挖鼻],河南南阳,182.114.224.57,"河南省南阳市 联通 * GeoIP: Nanyang, Henan, China * China Unicom Henan",10,1533829425,0,cj,0,0,0,0,5B6C6130-B672E039-15CF2D132-8C5-7FF
172,173,9,不回头就行了,2018-08-09 23:30:32,这届年轻人不行[doge],广东广州,112.96.199.121,"广东省广州市 联通 * GeoIP: Guangzhou, Guangdong, China * China Unicom Guangzhou network",13,1533828632,0,cj,0,0,0,0,5B6C5E17-7060C779-A43946FF-8C5-86E
173,174,9,陈大大耶耶,2018-08-09 23:11:42,同意,广东揭阳,223.74.229.250,"广东省揭阳市 移动 * GeoIP: Jieyang, Guangdong, China * China Mobile",2,1533827501,0,cj,0,0,0,0,5B6C59AC-DF4AE5FA-B479F1B2-8C5-7FE
174,175,9,墨迹-莫记,2018-08-09 22:55:51,优秀,湖北武汉,117.151.16.116,"湖北省武汉市 移动 * GeoIP: Wuhan, Hubei, China * China Mobile Guangdong",11,1533826551,0,cj,0,1,0,0,5B6C55F7-75971074-DC968C61-8C5-928
